X,CH1
Second,Volt,
-1.20e-08,1.44e-02
-1.20e-08,1.68e-02
-1.19e-08,1.92e-02
-1.19e-08,2.16e-02
-1.18e-08,2.40e-02
-1.18e-08,2.64e-02
-1.18e-08,2.88e-02
-1.17e-08,3.12e-02
-1.17e-08,3.36e-02
-1.16e-08,3.60e-02
-1.16e-08,3.84e-02
-1.16e-08,4.08e-02
-1.15e-08,4.24e-02
-1.15e-08,4.48e-02
-1.14e-08,4.64e-02
-1.14e-08,4.88e-02
-1.14e-08,5.04e-02
-1.13e-08,5.20e-02
-1.13e-08,5.36e-02
-1.12e-08,5.52e-02
-1.12e-08,5.60e-02
-1.12e-08,5.76e-02
-1.11e-08,5.92e-02
-1.11e-08,6.00e-02
-1.10e-08,6.08e-02
-1.10e-08,6.16e-02
-1.10e-08,6.24e-02
-1.09e-08,6.31e-02
-1.09e-08,6.40e-02
-1.08e-08,6.40e-02
-1.08e-08,6.40e-02
-1.08e-08,6.48e-02
-1.07e-08,6.48e-02
-1.07e-08,6.48e-02
-1.06e-08,6.48e-02
-1.06e-08,6.48e-02
-1.06e-08,6.40e-02
-1.05e-08,6.40e-02
-1.05e-08,6.31e-02
-1.04e-08,6.24e-02
-1.04e-08,6.16e-02
-1.04e-08,6.08e-02
-1.03e-08,6.00e-02
-1.03e-08,5.92e-02
-1.02e-08,5.76e-02
-1.02e-08,5.68e-02
-1.02e-08,5.52e-02
-1.01e-08,5.36e-02
-1.01e-08,5.20e-02
-1.00e-08,5.04e-02
-1.00e-08,4.88e-02
-9.96e-09,4.72e-02
-9.92e-09,4.48e-02
-9.88e-09,4.32e-02
-9.84e-09,4.16e-02
-9.80e-09,3.92e-02
-9.76e-09,3.68e-02
-9.72e-09,3.44e-02
-9.68e-09,3.28e-02
-9.64e-09,3.04e-02
-9.60e-09,2.80e-02
-9.56e-09,2.56e-02
-9.52e-09,2.32e-02
-9.48e-09,2.08e-02
-9.44e-09,1.76e-02
-9.40e-09,1.52e-02
-9.36e-09,1.28e-02
-9.32e-09,9.60e-03
-9.28e-09,7.20e-03
-9.24e-09,4.00e-03
-9.20e-09,1.60e-03
-9.16e-09,-1.60e-03
-9.12e-09,-4.00e-03
-9.08e-09,-7.20e-03
-9.04e-09,-9.60e-03
-9.00e-09,-1.20e-02
-8.96e-09,-1.52e-02
-8.92e-09,-1.76e-02
-8.88e-09,-2.00e-02
-8.84e-09,-2.24e-02
-8.80e-09,-2.48e-02
-8.76e-09,-2.72e-02
-8.72e-09,-2.96e-02
-8.68e-09,-3.20e-02
-8.64e-09,-3.44e-02
-8.60e-09,-3.68e-02
-8.56e-09,-3.92e-02
-8.52e-09,-4.08e-02
-8.48e-09,-4.32e-02
-8.44e-09,-4.48e-02
-8.40e-09,-4.72e-02
-8.36e-09,-4.88e-02
-8.32e-09,-5.04e-02
-8.28e-09,-5.28e-02
-8.24e-09,-5.44e-02
-8.20e-09,-5.60e-02
-8.16e-09,-5.76e-02
-8.12e-09,-5.92e-02
-8.08e-09,-6.00e-02
-8.04e-09,-6.16e-02
-8.00e-09,-6.24e-02
-7.96e-09,-6.31e-02
-7.92e-09,-6.40e-02
-7.88e-09,-6.48e-02
-7.84e-09,-6.48e-02
-7.80e-09,-6.56e-02
-7.76e-09,-6.56e-02
-7.72e-09,-6.56e-02
-7.68e-09,-6.63e-02
-7.64e-09,-6.63e-02
-7.60e-09,-6.63e-02
-7.56e-09,-6.56e-02
-7.52e-09,-6.56e-02
-7.48e-09,-6.48e-02
-7.44e-09,-6.48e-02
-7.40e-09,-6.40e-02
-7.36e-09,-6.31e-02
-7.32e-09,-6.24e-02
-7.28e-09,-6.16e-02
-7.24e-09,-6.00e-02
-7.20e-09,-5.92e-02
-7.16e-09,-5.76e-02
-7.12e-09,-5.68e-02
-7.08e-09,-5.52e-02
-7.04e-09,-5.36e-02
-7.00e-09,-5.20e-02
-6.96e-09,-5.04e-02
-6.92e-09,-4.80e-02
-6.88e-09,-4.64e-02
-6.84e-09,-4.40e-02
-6.80e-09,-4.24e-02
-6.76e-09,-4.00e-02
-6.72e-09,-3.76e-02
-6.68e-09,-3.52e-02
-6.64e-09,-3.28e-02
-6.60e-09,-3.04e-02
-6.56e-09,-2.80e-02
-6.52e-09,-2.56e-02
-6.48e-09,-2.32e-02
-6.44e-09,-2.08e-02
-6.40e-09,-1.84e-02
-6.36e-09,-1.52e-02
-6.32e-09,-1.28e-02
-6.28e-09,-1.04e-02
-6.24e-09,-7.20e-03
-6.20e-09,-4.80e-03
-6.16e-09,-2.40e-03
-6.12e-09,8.00e-04
-6.08e-09,3.20e-03
-6.04e-09,5.60e-03
-6.00e-09,8.80e-03
-5.96e-09,1.12e-02
-5.92e-09,1.36e-02
-5.88e-09,1.60e-02
-5.84e-09,1.84e-02
-5.80e-09,2.16e-02
-5.76e-09,2.40e-02
-5.72e-09,2.64e-02
-5.68e-09,2.88e-02
-5.64e-09,3.12e-02
-5.60e-09,3.36e-02
-5.56e-09,3.60e-02
-5.52e-09,3.84e-02
-5.48e-09,4.00e-02
-5.44e-09,4.24e-02
-5.40e-09,4.40e-02
-5.36e-09,4.64e-02
-5.32e-09,4.80e-02
-5.28e-09,4.96e-02
-5.24e-09,5.12e-02
-5.20e-09,5.28e-02
-5.16e-09,5.44e-02
-5.12e-09,5.60e-02
-5.08e-09,5.68e-02
-5.04e-09,5.84e-02
-5.00e-09,5.92e-02
-4.96e-09,6.00e-02
-4.92e-09,6.16e-02
-4.88e-09,6.16e-02
-4.84e-09,6.24e-02
-4.80e-09,6.31e-02
-4.76e-09,6.31e-02
-4.72e-09,6.40e-02
-4.68e-09,6.40e-02
-4.64e-09,6.48e-02
-4.60e-09,6.48e-02
-4.56e-09,6.48e-02
-4.52e-09,6.48e-02
-4.48e-09,6.40e-02
-4.44e-09,6.40e-02
-4.40e-09,6.31e-02
-4.36e-09,6.31e-02
-4.32e-09,6.24e-02
-4.28e-09,6.16e-02
-4.24e-09,6.08e-02
-4.20e-09,6.00e-02
-4.16e-09,5.84e-02
-4.12e-09,5.76e-02
-4.08e-09,5.60e-02
-4.04e-09,5.52e-02
-4.00e-09,5.36e-02
-3.96e-09,5.20e-02
-3.92e-09,5.04e-02
-3.88e-09,4.80e-02
-3.84e-09,4.64e-02
-3.80e-09,4.48e-02
-3.76e-09,4.24e-02
-3.72e-09,4.00e-02
-3.68e-09,3.84e-02
-3.64e-09,3.60e-02
-3.60e-09,3.36e-02
-3.56e-09,3.12e-02
-3.52e-09,2.88e-02
-3.48e-09,2.64e-02
-3.44e-09,2.40e-02
-3.40e-09,2.16e-02
-3.36e-09,1.92e-02
-3.32e-09,1.68e-02
-3.28e-09,1.36e-02
-3.24e-09,1.12e-02
-3.20e-09,8.00e-03
-3.16e-09,5.60e-03
-3.12e-09,2.40e-03
-3.08e-09,0.00e+00
-3.04e-09,-2.40e-03
-3.00e-09,-5.60e-03
-2.96e-09,-8.00e-03
-2.92e-09,-1.04e-02
-2.88e-09,-1.36e-02
-2.84e-09,-1.60e-02
-2.80e-09,-1.84e-02
-2.76e-09,-2.08e-02
-2.72e-09,-2.40e-02
-2.68e-09,-2.64e-02
-2.64e-09,-2.88e-02
-2.60e-09,-3.12e-02
-2.56e-09,-3.36e-02
-2.52e-09,-3.60e-02
-2.48e-09,-3.84e-02
-2.44e-09,-4.08e-02
-2.40e-09,-4.24e-02
-2.36e-09,-4.48e-02
-2.32e-09,-4.64e-02
-2.28e-09,-4.88e-02
-2.24e-09,-5.04e-02
-2.20e-09,-5.28e-02
-2.16e-09,-5.44e-02
-2.12e-09,-5.60e-02
-2.08e-09,-5.76e-02
-2.04e-09,-5.92e-02
-2.00e-09,-6.00e-02
-1.96e-09,-6.16e-02
-1.92e-09,-6.24e-02
-1.88e-09,-6.31e-02
-1.84e-09,-6.40e-02
-1.80e-09,-6.40e-02
-1.76e-09,-6.48e-02
-1.72e-09,-6.56e-02
-1.68e-09,-6.56e-02
-1.64e-09,-6.56e-02
-1.60e-09,-6.63e-02
-1.56e-09,-6.63e-02
-1.52e-09,-6.63e-02
-1.48e-09,-6.56e-02
-1.44e-09,-6.56e-02
-1.40e-09,-6.48e-02
-1.36e-09,-6.48e-02
-1.32e-09,-6.40e-02
-1.28e-09,-6.31e-02
-1.24e-09,-6.24e-02
-1.20e-09,-6.16e-02
-1.16e-09,-6.00e-02
-1.12e-09,-5.92e-02
-1.08e-09,-5.76e-02
-1.04e-09,-5.68e-02
-9.99e-10,-5.52e-02
-9.59e-10,-5.36e-02
-9.20e-10,-5.20e-02
-8.80e-10,-5.04e-02
-8.40e-10,-4.80e-02
-8.00e-10,-4.64e-02
-7.60e-10,-4.48e-02
-7.20e-10,-4.24e-02
-6.80e-10,-4.08e-02
-6.40e-10,-3.84e-02
-6.00e-10,-3.60e-02
-5.60e-10,-3.44e-02
-5.20e-10,-3.20e-02
-4.80e-10,-2.96e-02
-4.40e-10,-2.72e-02
-4.00e-10,-2.48e-02
-3.60e-10,-2.16e-02
-3.20e-10,-1.92e-02
-2.80e-10,-1.68e-02
-2.40e-10,-1.36e-02
-2.00e-10,-1.12e-02
-1.60e-10,-8.80e-03
-1.20e-10,-5.60e-03
-8.00e-11,-3.20e-03
-4.00e-11,-8.00e-04
0.00e+00,2.40e-03
4.00e-11,4.80e-03
8.00e-11,7.20e-03
1.20e-10,1.04e-02
1.60e-10,1.28e-02
2.00e-10,1.52e-02
2.40e-10,1.84e-02
2.80e-10,2.08e-02
3.20e-10,2.32e-02
3.60e-10,2.56e-02
4.00e-10,2.88e-02
4.40e-10,3.12e-02
4.80e-10,3.28e-02
5.20e-10,3.52e-02
5.60e-10,3.76e-02
6.00e-10,4.00e-02
6.40e-10,4.16e-02
6.80e-10,4.40e-02
7.20e-10,4.56e-02
7.60e-10,4.72e-02
8.00e-10,4.88e-02
8.40e-10,5.04e-02
8.80e-10,5.20e-02
9.20e-10,5.36e-02
9.59e-10,5.52e-02
9.99e-10,5.68e-02
1.04e-09,5.76e-02
1.08e-09,5.84e-02
1.12e-09,5.92e-02
1.16e-09,6.08e-02
1.20e-09,6.08e-02
1.24e-09,6.16e-02
1.28e-09,6.24e-02
1.32e-09,6.31e-02
1.36e-09,6.31e-02
1.40e-09,6.40e-02
1.44e-09,6.40e-02
1.48e-09,6.40e-02
1.52e-09,6.40e-02
1.56e-09,6.40e-02
1.60e-09,6.40e-02
1.64e-09,6.31e-02
1.68e-09,6.31e-02
1.72e-09,6.24e-02
1.76e-09,6.16e-02
1.80e-09,6.08e-02
1.84e-09,6.00e-02
1.88e-09,5.92e-02
1.92e-09,5.84e-02
1.96e-09,5.68e-02
2.00e-09,5.60e-02
2.04e-09,5.44e-02
2.08e-09,5.28e-02
2.12e-09,5.12e-02
2.16e-09,4.96e-02
2.20e-09,4.80e-02
2.24e-09,4.64e-02
2.28e-09,4.48e-02
2.32e-09,4.24e-02
2.36e-09,4.08e-02
2.40e-09,3.84e-02
2.44e-09,3.68e-02
2.48e-09,3.44e-02
2.52e-09,3.20e-02
2.56e-09,2.96e-02
2.60e-09,2.72e-02
2.64e-09,2.48e-02
2.68e-09,2.24e-02
2.72e-09,2.00e-02
2.76e-09,1.68e-02
2.80e-09,1.44e-02
2.84e-09,1.20e-02
2.88e-09,8.80e-03
2.92e-09,6.40e-03
2.96e-09,4.00e-03
3.00e-09,8.00e-04
3.04e-09,-1.60e-03
3.08e-09,-4.00e-03
3.12e-09,-7.20e-03
3.16e-09,-9.60e-03
3.20e-09,-1.20e-02
3.24e-09,-1.44e-02
3.28e-09,-1.76e-02
3.32e-09,-2.00e-02
3.36e-09,-2.24e-02
3.40e-09,-2.48e-02
3.44e-09,-2.72e-02
3.48e-09,-2.96e-02
3.52e-09,-3.20e-02
3.56e-09,-3.44e-02
3.60e-09,-3.68e-02
3.64e-09,-3.92e-02
3.68e-09,-4.08e-02
3.72e-09,-4.32e-02
3.76e-09,-4.56e-02
3.80e-09,-4.72e-02
3.84e-09,-4.96e-02
3.88e-09,-5.12e-02
3.92e-09,-5.28e-02
3.96e-09,-5.44e-02
4.00e-09,-5.60e-02
4.04e-09,-5.76e-02
4.08e-09,-5.84e-02
4.12e-09,-6.00e-02
4.16e-09,-6.08e-02
4.20e-09,-6.16e-02
4.24e-09,-6.24e-02
4.28e-09,-6.31e-02
4.32e-09,-6.40e-02
4.36e-09,-6.48e-02
4.40e-09,-6.56e-02
4.44e-09,-6.56e-02
4.48e-09,-6.56e-02
4.52e-09,-6.56e-02
4.56e-09,-6.56e-02
4.60e-09,-6.56e-02
4.64e-09,-6.56e-02
4.68e-09,-6.48e-02
4.72e-09,-6.48e-02
4.76e-09,-6.40e-02
4.80e-09,-6.31e-02
4.84e-09,-6.24e-02
4.88e-09,-6.16e-02
4.92e-09,-6.08e-02
4.96e-09,-5.92e-02
5.00e-09,-5.84e-02
5.04e-09,-5.68e-02
5.08e-09,-5.52e-02
5.12e-09,-5.36e-02
5.16e-09,-5.20e-02
5.20e-09,-5.04e-02
5.24e-09,-4.88e-02
5.28e-09,-4.72e-02
5.32e-09,-4.48e-02
5.36e-09,-4.32e-02
5.40e-09,-4.08e-02
5.44e-09,-3.92e-02
5.48e-09,-3.68e-02
5.52e-09,-3.52e-02
5.56e-09,-3.28e-02
5.60e-09,-3.04e-02
5.64e-09,-2.80e-02
5.68e-09,-2.56e-02
5.72e-09,-2.32e-02
5.76e-09,-2.08e-02
5.80e-09,-1.76e-02
5.84e-09,-1.52e-02
5.88e-09,-1.28e-02
5.92e-09,-1.04e-02
5.96e-09,-7.20e-03
6.00e-09,-4.80e-03
6.04e-09,-2.40e-03
6.08e-09,8.00e-04
6.12e-09,3.20e-03
6.16e-09,5.60e-03
6.20e-09,8.00e-03
6.24e-09,1.12e-02
6.28e-09,1.36e-02
6.32e-09,1.60e-02
6.36e-09,1.92e-02
6.40e-09,2.16e-02
6.44e-09,2.40e-02
6.48e-09,2.64e-02
6.52e-09,2.88e-02
6.56e-09,3.12e-02
6.60e-09,3.36e-02
6.64e-09,3.60e-02
6.68e-09,3.76e-02
6.72e-09,4.00e-02
6.76e-09,4.24e-02
6.80e-09,4.40e-02
6.84e-09,4.64e-02
6.88e-09,4.80e-02
6.92e-09,4.96e-02
6.96e-09,5.20e-02
7.00e-09,5.28e-02
7.04e-09,5.44e-02
7.08e-09,5.60e-02
7.12e-09,5.68e-02
7.16e-09,5.84e-02
7.20e-09,5.92e-02
7.24e-09,6.00e-02
7.28e-09,6.08e-02
7.32e-09,6.16e-02
7.36e-09,6.24e-02
7.40e-09,6.31e-02
7.44e-09,6.31e-02
7.48e-09,6.40e-02
7.52e-09,6.40e-02
7.56e-09,6.40e-02
7.60e-09,6.40e-02
7.64e-09,6.40e-02
7.68e-09,6.40e-02
7.72e-09,6.40e-02
7.76e-09,6.31e-02
7.80e-09,6.24e-02
7.84e-09,6.24e-02
7.88e-09,6.16e-02
7.92e-09,6.08e-02
7.96e-09,6.00e-02
8.00e-09,5.84e-02
8.04e-09,5.76e-02
8.08e-09,5.68e-02
8.12e-09,5.52e-02
8.16e-09,5.36e-02
8.20e-09,5.20e-02
8.24e-09,5.04e-02
8.28e-09,4.88e-02
8.32e-09,4.72e-02
8.36e-09,4.56e-02
8.40e-09,4.40e-02
8.44e-09,4.16e-02
8.48e-09,4.00e-02
8.52e-09,3.76e-02
8.56e-09,3.52e-02
8.60e-09,3.36e-02
8.64e-09,3.12e-02
8.68e-09,2.88e-02
8.72e-09,2.56e-02
8.76e-09,2.32e-02
8.80e-09,2.08e-02
8.84e-09,1.84e-02
8.88e-09,1.60e-02
8.92e-09,1.28e-02
8.96e-09,1.04e-02
9.00e-09,8.00e-03
9.04e-09,5.60e-03
9.08e-09,2.40e-03
9.12e-09,0.00e+00
9.16e-09,-2.40e-03
9.20e-09,-4.80e-03
9.24e-09,-7.20e-03
9.28e-09,-1.04e-02
9.32e-09,-1.28e-02
9.36e-09,-1.52e-02
9.40e-09,-1.76e-02
9.44e-09,-2.00e-02
9.48e-09,-2.24e-02
9.52e-09,-2.48e-02
9.56e-09,-2.80e-02
9.60e-09,-3.04e-02
9.64e-09,-3.28e-02
9.68e-09,-3.52e-02
9.72e-09,-3.68e-02
9.76e-09,-3.92e-02
9.80e-09,-4.16e-02
9.84e-09,-4.40e-02
9.88e-09,-4.64e-02
9.92e-09,-4.80e-02
9.96e-09,-4.96e-02
1.00e-08,-5.20e-02
1.00e-08,-5.36e-02
1.01e-08,-5.44e-02
1.01e-08,-5.60e-02
1.02e-08,-5.76e-02
1.02e-08,-5.84e-02
1.02e-08,-6.00e-02
1.03e-08,-6.08e-02
1.03e-08,-6.16e-02
1.04e-08,-6.24e-02
1.04e-08,-6.31e-02
1.04e-08,-6.40e-02
1.05e-08,-6.48e-02
1.05e-08,-6.48e-02
1.06e-08,-6.56e-02
1.06e-08,-6.56e-02
1.06e-08,-6.56e-02
1.07e-08,-6.56e-02
1.07e-08,-6.56e-02
1.08e-08,-6.48e-02
1.08e-08,-6.48e-02
1.08e-08,-6.40e-02
1.09e-08,-6.31e-02
1.09e-08,-6.31e-02
1.10e-08,-6.24e-02
1.10e-08,-6.08e-02
1.10e-08,-6.00e-02
1.11e-08,-5.92e-02
1.11e-08,-5.76e-02
1.12e-08,-5.60e-02
1.12e-08,-5.44e-02
1.12e-08,-5.28e-02
1.13e-08,-5.12e-02
1.13e-08,-4.96e-02
1.14e-08,-4.80e-02
1.14e-08,-4.64e-02
1.14e-08,-4.40e-02
1.15e-08,-4.24e-02
1.15e-08,-4.00e-02
1.16e-08,-3.84e-02
1.16e-08,-3.60e-02
1.16e-08,-3.36e-02
1.17e-08,-3.12e-02
1.17e-08,-2.88e-02
1.18e-08,-2.64e-02
1.18e-08,-2.40e-02
1.18e-08,-2.16e-02
1.19e-08,-1.84e-02
1.19e-08,-1.60e-02
1.20e-08,-1.36e-02
